abhängig,dependente 
magische,mágico 
magischen,mágico 
modernen,moderno 
möglich,possível 
möglichen,potencial 
monatlich,por mês 
müde,cansado 
nächste,Next 
nächsten,Next 
nächster,Next 
nass,molhado 
nett,Gentil 
neu,Novo 
neue,novo 
neuen,novo 
neues,novo 
neuesten,Mais recentes 
normal,normal 
normalen,normal 
notwendig,necessário 
notwendigen,necessário 
nützlich,útil 
offen,abrir 
offene,abrir 
offenen,abrir 
öffentliche,público 
öffentlichen,público 
öffentliches,público 
passende,adequado 
passenden,Coincidindo 
passiert,acontece 
perfekt,Perfeito 
persönlich,pessoalmente 
persönliche,pessoal 
persönlichen,pessoal 
pink,cor de rosa 
plötzlich,De repente 
politischen,político 
positiv,positivo 
praktisch,praticamente 
privat,Privado 
private,privado 
privaten,privado 
regional,regional 
reich,rico 
relativ,relativo 
richtig,correto 
richtige,o certo 
rote,vermelho 
roten,avermelhar 
roter,vermelho 
rotes,vermelho 
ruhig,calma 
rund,Redondo 
salzig,salgado 
sauber,limpar 
sauer,nervoso 
scharf,afiado 
schlau,inteligente 
schlecht,ruim 
schlechte,ruim 
schlechter,pobre 
schlimm,ruim 
schmutzig,sujo 
schnell,Rápido 
schnellen,Rápido 
schneller,mais rapidamente 
schnelles,rápido 
schön,bela 
schöne,amável 
schönen,bonito 
schöner,Mais bonito 
schwach,fraco 
schwanger,grávida 
schwarz,Preto 
schwarze,Preto 
schwarzen,Preto 
schwarzes,Preto 
schwer,pesado 
sechste,sexto 
selbstverständlich,Claro 
selten,Cru 
seltsam,estranho 
sichtbar,visível 
sinnvoll,significativo 
soziale,social 
sozialen,social 
soziales,social 
spät,tarde 
später,mais tarde 
speziellen,especial 
stark,Forte 
starke,Força 
starken,fortalecer 
stärker,mais forte 
stolz,orgulhoso 
super,Super 
süß,doce 
täglich,Todos os dias 
tapfer,corajoso 
tatsächlich,na verdade 
technischen,técnico 
teuer,caro 
teurer,caro 
tief,profundo 
toll,Excelente 
total,total 
traurig,Triste 
trocken,seco 
übrigen,a propósito 
unabhängig,independentemente 
unbekannt,desconhecido 
unglaublich,incrível 
unheimlich,arrepiante 
unmöglich,impossível 
unsichtbar,invisível 
unterschiedliche,diferente 
verantwortlich,responsável 
verfügbar,acessível 
verfügbaren,acessível 
vergangenen,passado 
verheiratet,casado 
verpflichtet,Comprometido 
verrückt,louco 
verschiedene,vários 
verschiedenen,diferente 
vierte,quarto 
voll,cheio 
völlig,completamente 
vorsichtig,cuidadosamente 
wahr,verdadeiro 
wahrscheinlich,provavelmente 
warm,caloroso 
weich,suave 
weiße,Branco 
weißen,Branco 
weißer,Branco 
weißes,Branco 
weit,distante 
weitere,Avançar 
weiterer,avançar 
weiteres,adicional 
wert,valor 
wertvoll,precioso 
wichtig,importante 
wichtige,importante 
wichtigen,importante 
wichtiger,mais importante 
wichtigsten,a Principal 
willkommen,receber 
wirklich,realmente 
witzig,engraçado 
wöchentlich,semanalmente 
wunderbar,Maravilhoso 
wunderschön,bela 
wunderschöne,bela 
zahlreiche,numerosos 
zufälliger,aleatória 
zufrieden,satisfeito 
zusätzliche,adicional 
zusätzlichen,adicional 
zuständig,responsável 
zuständigen,competente 
zweite,segundo 
zweiten,segundo 
