abhängig,dependent 
wahrscheinlich,probably 
warm,warm 
weich,soft 
weiße,white 
weißen,white 
weißer,white 
weißes,white 
weit,far 
weitere,Further 
weiterer,further 
weiteres,additional 
wert,value 
wertvoll,precious 
wichtig,important 
wichtige,important 
wichtigen,important 
wichtiger,more important 
wichtigsten,main 
willkommen,welcome 
wirklich,really 
witzig,funny 
wöchentlich,weekly 
wunderbar,wonderful 
wunderschön,beautiful 
wunderschöne,beautiful 
zahlreiche,numerous 
zufälliger,random 
zufrieden,satisfied 
zusätzliche,additional 
zusätzlichen,additional 
zuständig,responsible 
zuständigen,competent 
zweite,second 
zweiten,second 
